marketplace,customer_id,review_id,product_id,product_parent,product_title,star_rating,helpful_votes,total_votes,review_date,review_body_length,sentiment_score,sentiment_comparative,isPrivacy,coder_rating,classification,class_prob
US,18056198,RP5FAO8Z4YP7P,B01248YO8E,732506160,,4,0,0,2015-08-28,114,4,0.23529411764705882,false,,other,0.3044588902890554
US,46519617,R25MCTMCGLXUSV,B00P6A74VM,623576880,,3,0,0,2015-08-20,35,0,0,false,,other,0.6251223071603459
US,6569177,R2BX97N4NQA88G,B009NGY13E,624805240,,3,0,1,2015-08-15,62,0,0,false,,other,0.322450839596052
US,42879489,R3PAZHQZLJMCO3,B01248YO8E,732506160,,5,0,0,2015-08-15,72,2,0.14285714285714285,false,,other,0.2468467516319179
US,6245567,R2XHG5SVG6Z1HW,B007P8BMTS,336386143,,5,0,0,2015-08-12,78,2,0.11764705882352941,false,,other,0.1217161932293497
US,39927022,R1LGMCW3IB6XFI,B00L5HQRGS,27058515,,1,0,0,2015-08-10,223,-3,-0.06818181818181818,false,,other,0.6427300931732471
US,12300937,RVN5VRCA0DDWN,B00GYPE40M,965844871,,3,0,0,2015-08-10,2,0,0,false,,other,0.20163198041670252
US,12337263,R3O8PQ0SCTFNUO,B00YM342QO,349209720,,5,0,1,2015-08-07,11,3,1.5,false,,other,0.2393433462281097
US,23674325,R3EU24JAANV3MK,B00N28818A,838378762,,1,1,1,2015-08-06,262,1,0.022222222222222223,false,,other,0.6654136801923808
US,9312258,R3TGKBV4SJ3NYS,B01248YO8E,732506160,,5,0,0,2015-07-27,33,0,0,false,,other,0.25907045697675296
US,13215408,RJJE1US6905TE,B00S4JOPI2,420945988,,5,0,0,2015-07-20,32,7,1,false,,other,0.10771636552632186
US,50630949,R1CIBQNLPTZNCG,B00UO66ZKO,282989744,,5,1,1,2015-07-16,130,10,0.4,false,,other,0.2410505988691626
US,32002947,RWY67BPMAANRZ,B00992CF6W,9632738,,5,0,0,2015-07-09,75,3,0.17647058823529413,false,,other,0.23178689239825762
US,43580721,R3A7DW425MUU1O,B00MXEPCUY,930023745,,5,0,1,2015-07-09,75,6,0.375,false,,other,0.16947283191928583
US,26770557,R3VYQTCC6RWUJC,B0063GSL60,275057652,,5,0,0,2015-07-08,104,4,0.15384615384615385,false,,other,0.18593861390881442
US,9227508,R1WVR74MX62WZF,B004GJDQT8,36653526,,1,0,0,2015-07-06,287,0,0,false,,other,0.99684732140159
US,693158,RFHRD7TYTAADS,B00JVZ0DQG,73538310,,2,0,0,2015-07-06,28,0,0,false,,other,0.5437303237540178
US,51900789,RYQAOIFFJHJLV,B0088P2A7A,172942932,,5,0,0,2015-07-04,316,8,0.1509433962264151,false,,other,0.5185650058879279
US,13572770,R3NXVC9RNAQH77,B00Y1T6WAI,78177012,,4,0,0,2015-06-26,73,1,0.07692307692307693,false,,other,0.2886997990109181
US,26561683,R156UYUD2FOR5Z,B00IAQ3RJM,135329517,,5,0,0,2015-06-23,149,10,0.4166666666666667,false,,other,0.10866155155246462
US,30136471,R15FKLPS98CD4L,B00HRI1A84,71292058,,4,1,1,2015-06-17,23,4,1.3333333333333333,false,,other,0.3009166110852054
US,52659200,R13YJGZALLUQD7,B00H343YNQ,751044496,,1,0,0,2015-06-14,10,0,0,false,,other,0.5847339940687174
US,48847238,R1YC72K7XBO9E1,B00QW8TYWO,828652896,,4,0,0,2015-06-10,21,0,0,false,,other,0.40928035874618285
US,10216709,R3HVJH8F3LD5YA,B00ECIKGYG,568555436,,3,1,1,2015-05-30,141,-1,-0.037037037037037035,false,,other,0.5279516384941452
US,1741275,R2ALY226U588LX,B00DBRN7UY,359231897,,5,0,0,2015-05-14,97,7,0.30434782608695654,false,,other,0.2901392876752315
US,6798138,R1TIDSLXIOUTXP,B006HJKKCG,911472104,,5,1,1,2015-05-01,295,4,0.06896551724137931,false,,other,0.37204585542445145
US,40010281,R2QTTGPODB1KAX,B00G357N92,296417215,,4,0,0,2015-04-30,39,0,0,false,,other,0.11193508465325251
US,7518130,R1DNBCK5G2FCPG,B00CTK4ABY,285948435,,5,0,0,2015-04-19,105,3,0.14285714285714285,false,,other,0.5548140209983382
