marketplace,customer_id,review_id,product_id,product_parent,product_title,star_rating,helpful_votes,total_votes,review_date,review_body_length,sentiment_score,sentiment_comparative,isPrivacy,coder_rating,classification,class_prob
US,18531586,R1V54SYNXID2H3,B006IXO1G2,531144991,,2,0,0,2015-08-31,321,-1,-0.01694915254237288,true,,privacy,0.9994233392557428
US,23876203,R3RFK7ZDUZVJA6,B004GJDQT8,36653526,,1,0,0,2015-08-22,241,-2,-0.046511627906976744,true,,privacy,0.9998951185205982
US,23053025,R2GYK4EJ5SRSJT,B00LEZKXU2,706596824,,4,87,96,2015-08-20,521,0,0,true,3,privacy,0.9972517780581159
US,46340284,R3GQYD4ANR9MAT,B007QXWV1U,628475460,,2,3,5,2015-08-14,164,-3,-0.10344827586206896,true,,privacy,0.9998496009457419
US,1901440,R3OX7A9NS5WJ99,B00H59C9BM,222176996,,3,6,8,2015-08-09,269,6,0.12244897959183673,true,,privacy,0.9992117678575602
US,3112230,R170XDQQ8OEZRF,B004GJDQT8,36653526,,1,1,1,2015-08-04,190,0,0,true,,privacy,0.9982866496882249
US,48016305,R7GIM9ENDHQVA,B00OA2KM1Q,615005238,,1,5,7,2015-08-04,157,2,0.06666666666666667,true,,privacy,0.9978038265071952
US,2314138,RJ20ODM9X1TFC,B00QRG0QF0,642544997,,2,4,4,2015-07-31,109,0,0,true,,privacy,0.9991260408002693
US,18571919,R2GBTYARP7XQ4P,B00LI6CXZA,383219059,,1,21,27,2015-07-27,206,-3,-0.08108108108108109,true,,privacy,0.9999986465545716
US,3265568,RC8YDIGD9KDLD,B00MXEPCUY,930023745,,1,0,0,2015-07-20,511,-4,-0.04,true,,privacy,0.9993545542624799
US,32285494,R2CRXB2MD2VI1G,B006R8GK2Q,287235955,,1,3,5,2015-07-14,300,0,0,true,,privacy,0.998734049834448
US,177994,R2XYRSKHIOVXOL,B004GJDQT8,36653526,,1,7,9,2015-07-14,244,2,0.046511627906976744,true,,privacy,0.999414401371729
US,15145163,R2XGSUFLMLJBJB,B004GJDQT8,36653526,,1,0,0,2015-07-12,372,5,0.07246376811594203,true,,privacy,0.9983216206226947
US,3210208,R2QL7M7S2NPSRC,B004GJDQT8,36653526,,5,3,5,2015-07-04,286,1,0.021739130434782608,true,,privacy,0.997154609921732
US,14910511,R278DIX7G5ZXIO,B008HPRQ3Y,57337364,,4,0,0,2015-06-26,386,6,0.07894736842105263,true,,privacy,0.9989931572524545
US,48643503,R38R6XX6OOYUDL,B008AIGWVA,337508131,,1,17,21,2015-05-23,257,-2,-0.04081632653061224,true,,privacy,0.9998244571021404
US,26754157,R31KPQOPMGCUS5,B00LJLOUWI,769348733,,1,5,10,2015-05-03,275,2,0.03636363636363636,true,,privacy,0.9989300733253931
US,43479019,R3J0OEX4G6S8E7,B00OJPKDRW,104670948,,1,0,1,2015-04-25,106,-1,-0.05263157894736842,true,,privacy,0.9986474179405762
US,22921899,RPCV82K51YWS3,B006ON41FC,205379158,,1,0,0,2015-04-22,377,-1,-0.013513513513513514,true,,privacy,0.9997514572968867
US,23382548,R1YSZ5VRBI9HOY,B004SIIBGU,30996242,,1,0,0,2015-04-21,92,1,0.07142857142857142,true,,privacy,0.9999913677083401
US,52209701,R335P32SYKC4JE,B00B1NEXF8,203028926,,4,0,1,2015-04-10,431,1,0.011111111111111112,true,,privacy,0.9988493333981495
US,4520246,R295I2CC1KALH1,B005V2S7FW,60591995,,4,0,0,2015-04-02,320,2,0.038461538461538464,true,,privacy,0.9985505942484012
US,31763784,R1P8661RGBCI66,B0058VW36U,739315173,,1,2,3,2015-03-27,293,0,0,true,,privacy,0.9998750553636254
US,40922247,R3F6MEOZHPZWQ4,B0097PW7H8,4733661,,1,1,1,2015-03-13,75,0,0,true,,privacy,0.9998699277830179
US,4685473,R2173Q71FS2MCH,B00A1SLGW2,349864368,,2,0,0,2015-03-12,145,-4,-0.14814814814814814,true,,privacy,0.9993294806947035
US,11958982,R2JZ4LVM306WG,B00LI6CXZA,383219059,,1,0,0,2015-02-23,319,3,0.046875,true,,privacy,0.9973145283425725
US,42182172,R1S0QH1C6TH2RX,B009SF9LN0,411901696,,1,1,2,2015-02-20,228,-3,-0.075,true,,privacy,0.9970279001965783
US,48912910,R1FR4UAQMV2AX7,B00KBPG4W2,230307358,,2,3,5,2015-02-06,281,-5,-0.1,true,,privacy,0.9978048843907226
US,25993531,R2LHZ4DB97IYDG,B00JGWT2MA,944038691,,1,4,4,2015-01-19,424,-3,-0.04054054054054054,true,,privacy,0.9995063067845893
US,17895316,R82A3D5A9EGKI,B00RIA2TC2,904322181,,5,5,5,2015-01-07,354,4,0.0625,true,,privacy,0.9979184807476214
US,10314362,R2IERPHSBAJIBZ,B00C4OZ3CK,833879555,,5,0,0,2015-01-05,469,5,0.056818181818181816,true,,privacy,0.9982394036362101
US,34795459,R3FYIQZW24SMIL,B00A2XU9IS,401241422,,5,0,0,2015-01-02,330,7,0.12280701754385964,true,,privacy,0.9983909324105126
US,47845758,RHCDO3PAOEY35,B00DJYC55C,160617994,,1,2,2,2014-12-28,174,1,0.034482758620689655,true,,privacy,0.9998414072670516
US,19978813,R3S6R0WEGL3UOW,B008Z2NVGK,928042195,,1,1,1,2014-12-25,378,2,0.02564102564102564,true,,privacy,0.9999490676415606
US,15598027,R3S9VSCNMBM9BG,B00AEVEL8M,52433678,,2,0,0,2014-12-08,199,-3,-0.08108108108108109,true,,privacy,0.9999413675720966
US,5586878,RQATQM0Y40HUA,B00HTCLN4Y,511966639,,5,5,5,2014-11-30,412,8,0.10666666666666667,true,,privacy,0.9999955151253056
US,48956364,R2ZA9TKAEU7PCO,B00HF6UAXO,889268741,,1,83,94,2014-11-29,411,-3,-0.04285714285714286,true,2,privacy,0.9999023452233652
US,24751770,R3MZ0G22VXBZSB,B00M6W8QAG,989857843,,1,3,8,2014-11-14,247,2,0.045454545454545456,true,,privacy,0.999505126747865
US,27862346,RAU2W5XSLP2WG,B008K8U13K,264138616,,1,2,4,2014-11-12,125,-2,-0.09523809523809523,true,,privacy,0.9971230821272444
US,52554413,R1HOED6175B42U,B004FRX0MY,473764126,,1,0,0,2014-11-03,361,2,0.029411764705882353,true,,privacy,0.9999517408967309
US,44091311,R3P6AJO78AZRIT,B00MGTACTC,815239543,,1,0,0,2014-11-02,149,-3,-0.11538461538461539,true,,privacy,0.9986368232366941
US,2874404,R3S5VKL7T11J17,B00OBJ53DK,281988453,,1,3,9,2014-11-01,370,-1,-0.014285714285714285,true,,privacy,0.9999523007491589
US,19391790,R3QJHKXQ6B3C5Z,B007BFSYMS,289904881,,1,10,11,2014-10-24,257,0,0,true,,privacy,0.99977975463697
US,48956364,RJS6I2TYP6SCU,B00EAIMGDW,64079266,,1,17,24,2014-10-21,310,6,0.1111111111111111,true,,privacy,0.9998825138623733
US,51400273,R1UYJ3BYZ3CQYP,B00KI0Q91G,652165841,,1,1,1,2014-10-01,508,1,0.011111111111111112,true,,privacy,0.9987732798376913
US,1293615,RJDCNIL6APS59,B00LTTLD7K,996486619,,1,1,1,2014-09-14,126,-2,-0.09090909090909091,true,,privacy,0.9997375044752462
US,16454762,R1AH50KDHNJWV0,B00NGQHOPY,67514946,,1,0,0,2014-09-11,128,1,0.041666666666666664,true,,privacy,0.9999005518068764
US,2011097,R2RHXD6107AB9O,B0094BB4TW,569156287,,1,0,2,2014-09-10,505,1,0.011764705882352941,true,,privacy,0.9999936589346685
US,35457371,RUBSNYCMN6FGX,B00DOZY9GE,89666241,,4,0,0,2014-08-15,295,1,0.0196078431372549,true,,privacy,0.999975989703952
US,48570340,R2BJNGDIKI2FOI,B004N945WS,25602962,,3,0,1,2014-08-09,358,4,0.06349206349206349,true,,privacy,0.9979254280564319
US,31722018,R3U2JT77FC4PZT,B00A6ZSU8S,748237939,,1,16,18,2014-07-27,283,2,0.038461538461538464,true,,privacy,0.9995446904807
US,41453768,R2EB112VGFQK76,B008I43DYU,841809677,,1,0,0,2014-07-12,183,2,0.05,true,,privacy,0.9978566157182542
US,51509772,R256P8NHFYZBTG,B009BK1CSO,190675009,,1,2,3,2014-07-10,399,2,0.022988505747126436,true,,privacy,0.9970743969789391
US,46823467,R24XLHP18OGGZ0,B00KPTKW8G,88505410,,1,59,94,2014-07-06,302,1,0.019230769230769232,true,1,privacy,0.9987390549229674
US,22413731,R1OSZ1JTMFX8ZM,B00IF2JW8G,328253869,,2,2,2,2014-06-19,228,5,0.11627906976744186,true,,privacy,0.9996040556056501
US,3651519,R3C0L6XHTX1W9I,B00DJYC55C,160617994,,1,1,1,2014-06-10,124,2,0.07692307692307693,true,,privacy,0.9973631911492041
US,15896524,R2DZTZR50FKZG7,B00IAQ3RJM,135329517,,1,3,4,2014-05-30,373,-7,-0.0945945945945946,true,,privacy,0.9999395760490201
US,9984997,R10WNWNC8WR9EB,B00GS9NDVU,83261783,,1,9,14,2014-05-16,397,4,0.057971014492753624,true,,privacy,0.9989499105633506
US,35667173,R3I208L2YENP7E,B00B7Y0206,39162938,,1,1,2,2014-05-15,123,0,0,true,,privacy,0.9974287152235387
US,12141894,RIJWB8J2VA1RU,B005HJ6MRO,562992044,,5,0,0,2014-05-14,117,2,0.08695652173913043,true,,privacy,0.9974200558482164
US,2674213,R2PXAPI4S7HPVM,B00A1SLGW2,349864368,,1,18,18,2014-05-06,273,-1,-0.017241379310344827,true,,privacy,0.9987515114262746
US,32627554,R2D9B1TYCAIKJG,B00F8GYC1Y,643077794,,1,3,4,2014-05-04,135,-1,-0.03571428571428571,true,,privacy,0.9985985654928878
US,3592255,R2TMAUXSWY4WFN,B00DJYC55C,160617994,,5,0,3,2014-04-23,430,0,0,true,,privacy,0.997066629792931
US,25389210,R3TI8WS5NOKVXO,B00632HWOG,610193099,,1,1,1,2014-04-17,423,0,0,true,,privacy,0.9981664301255981
US,18822673,R3CDMBU7M0Y2J0,B0088PQ99U,111368752,,1,1,1,2014-03-30,221,0,0,true,,privacy,0.9999946396434615
US,46640179,R1Q50E2LTAP7GK,B004T2QZL8,695098836,,1,16,50,2014-03-27,407,0,0,true,,privacy,0.9981594189637466
US,30296843,R1EJ56Z5T7G3A,B00632HWOG,610193099,,4,0,0,2014-03-19,170,5,0.13157894736842105,true,,privacy,0.998610700173951
US,38088412,R35U7BEFYP2J74,B0094BB4TW,569156287,,1,0,0,2014-03-18,429,-2,-0.022727272727272728,true,,privacy,0.9994257944016695
US,10963807,R2VF9ZJ5T7EI75,B00I5BYPPM,216501204,,1,5,7,2014-03-05,130,2,0.09090909090909091,true,,privacy,0.9995106243742233
US,4848440,RJRX8BK5U1FKZ,B00DJYC55C,160617994,,1,1,1,2014-03-03,232,2,0.044444444444444446,true,,privacy,0.9989083623650079
US,20972273,R3FHL6QR70S66Z,B00GU12HWM,241028544,,2,0,1,2014-03-02,487,-2,-0.021505376344086023,true,,privacy,0.998344967089552
